age,gender,country,account_age_months,subscription_type,monthly_fee,primary_device,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,days_since_last_login,churned,churn_probability,risk_segment
56,Male,UK,53,Premium,19.5,Mobile,276,10,5,88,18,0,0.053906914,Low Risk
46,Male,Canada,20,Premium,19.47,Mobile,137,6,0,37,24,1,0.764519178,High Risk
32,Male,Brazil,42,Basic,10.16,Smart TV,338,8,7,22,46,1,0.718826976,High Risk
60,Male,USA,19,Standard,16.35,Laptop,253,9,9,53,9,0,0.081382025,Low Risk
25,Male,India,11,Standard,14.3,Tablet,153,3,12,96,9,0,0.03298458,Low Risk
38,Female,Germany,27,Standard,15.23,Smart TV,161,4,12,73,43,0,0.340209585,Medium Risk
56,Female,Australia,49,Premium,19.93,Laptop,600,15,14,52,34,0,0.112559527,Low Risk
36,Male,USA,29,Premium,20.05,Mobile,278,8,4,52,4,0,0.11815421,Low Risk
40,Female,UK,20,Standard,13.39,Laptop,267,8,9,93,39,0,0.152402688,Low Risk
28,Female,Germany,8,Basic,9.32,Laptop,238,5,7,58,14,0,0.175502905,Low Risk
28,Other,UK,47,Standard,15.61,Tablet,86,4,0,32,29,1,0.916835447,Critical Risk
41,Male,India,13,Basic,8.31,Smart TV,328,8,1,29,15,0,0.243120687,Low Risk
53,Female,India,8,Premium,18.39,Tablet,346,13,1,48,16,1,0.206335521,Low Risk
57,Male,Canada,55,Basic,9.14,Smart TV,600,15,10,97,51,0,0.086428913,Low Risk
41,Female,Spain,19,Basic,10.44,Mobile,600,15,13,65,10,0,0.002841071,Low Risk
20,Male,UK,33,Standard,15.72,Laptop,113,3,14,92,52,0,0.547697972,Medium Risk
39,Male,Germany,53,Premium,18.48,Tablet,294,7,8,48,47,1,0.862025494,Critical Risk
19,Female,USA,56,Basic,10.72,Mobile,321,8,3,33,12,0,0.173543405,Low Risk
41,Female,France,41,Standard,14.46,Laptop,173,7,13,32,25,0,0.223930014,Low Risk
61,Female,USA,39,Standard,13.04,Mobile,600,12,8,30,0,0,0.02647765,Low Risk
47,Male,France,24,Standard,16.54,Laptop,433,14,2,64,25,0,0.068227994,Low Risk
55,Male,USA,33,Premium,18.98,Mobile,365,13,14,23,35,1,0.28033237,Low Risk
19,Female,Mexico,50,Basic,8.81,Mobile,600,14,5,94,48,0,0.080852966,Low Risk
38,Female,Mexico,49,Standard,15.7,Smart TV,173,6,2,70,5,0,0.103871781,Low Risk
50,Female,Germany,36,Standard,14,Mobile,324,11,9,81,9,0,0.047814886,Low Risk
29,Female,UK,3,Premium,21.59,Smart TV,468,18,13,95,35,0,0.033715124,Low Risk
39,Male,USA,3,Basic,10.96,Smart TV,49,1,0,99,32,1,0.694974359,High Risk
61,Male,Australia,53,Basic,9.66,Tablet,30,1,6,28,8,1,0.467951492,Medium Risk
42,Male,Canada,1,Basic,11.92,Laptop,413,7,4,50,45,1,0.833340647,Critical Risk
44,Female,USA,27,Basic,8.08,Mobile,466,8,12,39,36,1,0.595022691,Medium Risk
59,Female,Mexico,39,Standard,15.95,Smart TV,306,10,12,28,14,0,0.051976682,Low Risk
45,Male,India,35,Basic,8.34,Mobile,297,10,13,75,14,0,0.012486195,Low Risk
33,Male,Spain,49,Standard,16.52,Smart TV,600,19,11,55,43,0,0.14628714,Low Risk
32,Male,Brazil,34,Standard,13.93,Tablet,30,1,1,93,32,1,0.681043556,High Risk
64,Male,USA,51,Basic,8.27,Laptop,215,7,13,57,33,0,0.138459728,Low Risk
61,Female,Spain,26,Premium,18.22,Mobile,150,4,10,71,27,1,0.277096784,Low Risk
20,Male,France,48,Basic,8.35,Tablet,414,9,3,57,45,0,0.589796334,Medium Risk
54,Female,USA,44,Basic,11.62,Laptop,323,15,10,84,31,0,0.018338135,Low Risk
24,Female,UK,31,Premium,20.21,Mobile,320,11,14,66,12,0,0.022467751,Low Risk
38,Male,USA,28,Standard,15.72,Tablet,543,16,10,78,13,0,0.00766715,Low Risk
26,Male,France,36,Standard,13.08,Mobile,440,13,7,64,10,0,0.038169466,Low Risk
56,Female,Spain,16,Premium,20.73,Mobile,408,14,0,39,17,0,0.186130422,Low Risk
35,Male,Brazil,45,Standard,16.57,Tablet,564,12,12,41,58,1,0.663546104,High Risk
21,Female,France,20,Premium,19.57,Smart TV,485,10,4,22,12,0,0.117856667,Low Risk
42,Female,Mexico,9,Premium,21.65,Laptop,264,5,3,82,15,0,0.19407073,Low Risk
31,Male,France,32,Premium,20.54,Tablet,583,16,10,48,32,0,0.042127601,Low Risk
26,Female,Brazil,53,Premium,19.92,Mobile,256,6,5,33,47,1,0.963888625,Critical Risk
43,Female,Canada,1,Standard,16.38,Laptop,206,5,2,40,44,1,0.970627121,Critical Risk
19,Male,USA,1,Basic,11.37,Smart TV,600,19,9,58,32,0,0.05275695,Low Risk
37,Other,Brazil,33,Standard,13.98,Laptop,42,1,8,21,56,1,0.911312675,Critical Risk
45,Male,Canada,24,Basic,11.57,Smart TV,281,5,1,28,59,1,0.935397819,Critical Risk
64,Female,Brazil,37,Basic,8.23,Laptop,146,5,13,61,42,1,0.587910176,Medium Risk
24,Female,Canada,2,Basic,8.87,Mobile,600,19,13,37,56,0,0.131080116,Low Risk
61,Female,Brazil,49,Standard,16.96,Mobile,600,14,1,63,7,0,0.046819013,Low Risk
25,Male,Brazil,30,Premium,19.99,Mobile,332,14,12,48,56,1,0.418981489,Medium Risk
64,Male,India,57,Basic,8.59,Mobile,310,10,1,82,24,0,0.06682301,Low Risk
52,Male,Spain,57,Basic,8.74,Smart TV,164,4,7,62,41,1,0.687467179,High Risk
31,Female,USA,18,Standard,16.54,Laptop,304,6,3,78,13,1,0.294916081,Low Risk
34,Male,Germany,44,Basic,8.91,Tablet,306,11,12,95,39,0,0.071861027,Low Risk
53,Female,Germany,28,Standard,15.58,Laptop,284,10,14,44,49,1,0.660879057,High Risk
57,Male,Mexico,15,Basic,11.87,Laptop,600,19,0,23,6,0,0.056036873,Low Risk
21,Male,Brazil,35,Standard,13.07,Laptop,360,9,3,97,46,1,0.625605047,High Risk
19,Male,Spain,14,Basic,9.41,Tablet,600,17,1,99,14,0,0.01447664,Low Risk
23,Female,Germany,53,Premium,20.58,Tablet,284,14,2,57,47,1,0.733545797,High Risk
59,Female,France,2,Standard,13.21,Smart TV,580,17,1,79,40,0,0.138046247,Low Risk
21,Male,France,2,Premium,20.06,Tablet,381,13,4,76,34,1,0.359955648,Medium Risk
46,Female,Mexico,42,Standard,14.49,Mobile,73,3,14,88,32,0,0.174794151,Low Risk
35,Male,USA,24,Basic,9.97,Mobile,494,17,14,23,56,1,0.386202478,Medium Risk
43,Female,France,48,Premium,18.59,Smart TV,600,13,3,29,32,0,0.414407418,Medium Risk
61,Female,Australia,11,Basic,8.95,Mobile,394,10,11,43,27,0,0.042522889,Low Risk
51,Male,Germany,19,Standard,15.67,Mobile,322,14,13,67,21,0,0.014364279,Low Risk
27,Male,France,1,Basic,9.22,Mobile,32,1,14,71,40,0,0.358258153,Medium Risk
53,Male,Australia,28,Standard,13.9,Smart TV,45,1,0,43,51,1,0.920976157,Critical Risk
31,Male,India,27,Premium,20.04,Laptop,150,4,8,98,59,1,0.771246871,High Risk
48,Female,Australia,12,Basic,9.7,Smart TV,440,16,7,25,12,0,0.022664278,Low Risk
32,Female,UK,33,Basic,8.32,Laptop,69,2,13,45,54,1,0.87748995,Critical Risk
25,Female,Australia,39,Premium,20.9,Smart TV,230,8,13,64,39,1,0.323626658,Medium Risk
